timestep_name,hour,demandb1,demandb2,demandb3,demandb4
t294,294,3117.66594,10814.51791,1637.52147,4488.2049900
t2941,2941,3088.62276,10758.11521,1633.58813,4491.9722100
t2942,2942,3027.31926,10649.24273,1630.02641,4444.5694900
t2943,2943,3037.02463,10650.0550,1631.09053,4443.4434900
t2944,2944,3015.02079,10546.70107,1623.32013,4486.0916300
t2945,2945,2982.16745,10383.26593,1603.52653,4528.0714200
t2946,2946,2814.88964,9781.60756,1558.83037,4563.7657800
t2947,2947,2618.37398,9420.10011,1553.66392,4613.7825500
t2948,2948,2916.65151,10657.49643,1637.98923,4788.3936400
t2949,2949,2967.45803,10902.71808,1674.6956,4796.9273400
t295,295,2919.18259,10766.10755,1674.99098,4929.4725400
t2951,2951,2775.45388,10205.26252,1648.93993,4963.5388900
t2952,2952,2731.09808,9766.4521,1629.30422,4810.8233900
t2953,2953,2646.25728,9226.22281,1609.50937,4857.6415700
t2954,2954,2472.26534,8617.53162,1581.27096,4712.1065500
t2955,2955,2347.01987,8195.34986,1558.95121,4681.3709400
t2956,2956,2273.72065,7968.64241,1549.6091,4684.0552800
t2957,2957,2248.41171,7876.52826,1549.14568,4720.2667800
t2958,2958,2278.66453,7963.23551,1553.83145,4651.9069200
t2959,2959,2414.72432,8537.80881,1567.66309,4745.5406900
t296,296,2661.76642,9429.24013,1591.15446,4693.9213000
t2961,2961,2854.43349,9912.09047,1595.25583,4511.8202000
t2962,2962,2949.13288,10306.32682,1625.50868,4613.1891200
t2963,2963,3063.00505,10674.79628,1637.39207,4577.5524300
t2964,2964,3117.66594,10814.51791,1637.52147,4488.2049900
t2965,2965,3088.62276,10758.11521,1633.58813,4491.9722100
t2966,2966,3027.31926,10649.24273,1630.02641,4444.5694900
t2967,2967,3037.02463,10650.0550,1631.09053,4443.4434900
t2968,2968,3015.02079,10546.70107,1623.32013,4486.0916300
t2969,2969,2982.16745,10383.26593,1603.52653,4528.0714200
t297,297,2814.88964,9781.60756,1558.83037,4563.7657800
t2971,2971,2618.37398,9420.10011,1553.66392,4613.7825500
t2972,2972,2916.65151,10657.49643,1637.98923,4788.3936400
t2973,2973,2967.45803,10902.71808,1674.6956,4796.9273400
t2974,2974,2919.18259,10766.10755,1674.99098,4929.4725400
t2975,2975,2775.45388,10205.26252,1648.93993,4963.5388900
t2976,2976,2731.09808,9766.4521,1629.30422,4810.8233900
t2977,2977,2646.25728,9226.22281,1609.50937,4857.6415700
t2978,2978,2472.26534,8617.53162,1581.27096,4712.1065500
t2979,2979,2347.01987,8195.34986,1558.95121,4681.3709400
t298,298,2273.72065,7968.64241,1549.6091,4684.0552800
t2981,2981,2248.41171,7876.52826,1549.14568,4720.2667800
t2982,2982,2278.66453,7963.23551,1553.83145,4651.9069200
t2983,2983,2414.72432,8537.80881,1567.66309,4745.5406900
t2984,2984,2661.76642,9429.24013,1591.15446,4693.9213000
t2985,2985,2854.43349,9912.09047,1595.25583,4511.8202000
t2986,2986,2949.13288,10306.32682,1625.50868,4613.1891200
t2987,2987,3063.00505,10674.79628,1637.39207,4577.5524300
t2988,2988,3117.66594,10814.51791,1637.52147,4488.2049900
t2989,2989,3088.62276,10758.11521,1633.58813,4491.9722100
t299,299,3027.31926,10649.24273,1630.02641,4444.5694900
t2991,2991,3037.02463,10650.0550,1631.09053,4443.4434900
t2992,2992,3015.02079,10546.70107,1623.32013,4486.0916300
t2993,2993,2982.16745,10383.26593,1603.52653,4528.0714200
t2994,2994,2814.88964,9781.60756,1558.83037,4563.7657800
t2995,2995,2618.37398,9420.10011,1553.66392,4613.7825500
t2996,2996,2916.65151,10657.49643,1637.98923,4788.3936400
t2997,2997,2967.45803,10902.71808,1674.6956,4796.9273400
t2998,2998,2919.18259,10766.10755,1674.99098,4929.4725400
t2999,2999,2775.45388,10205.26252,1648.93993,4963.5388900
